发帖用户id	科室	所属栏目	相关疾病
luyigukeyiyuan	骨科		盲
cen曾			烧伤感染
乡镇卫生院住院医	内科		湿疹
云台伊人	骨科		普通感冒
芝士焗虾			褥疮
wg1125028958			
无语倚阑			
luyigukeyiyuan	骨科		骨折
lzt2016	骨科		
light_ak47	骨科		骨折
熊欣欣	全科		
安达曼的海			
思勿邪		临床免疫	甲状腺功能减退症
何布衣bone	骨科		骨肿瘤
dxy_czfwwgb3			
zfxdcy	骨科		痛风
liuhulan1933			牙龈红肿
逆风奔跑	骨科		骨折
曲率			肺炎
wangniujunhai			
逃	神经科	正畸学	
fxch1986	临床微生物室	检验与临床	恶性高热
洗砚鼓楼东			乙型肝炎
旺旺雪饼		开业交流与探讨	
只是这有			腮腺炎
dxy_yn39w4ve		骨科基础研究&数字骨科	
吃药了莫得			
cmuey1		检验与临床	
ANRC-666		检验与临床	库欣综合征
ANRC-777		检验与临床	骨软化症
yjsang		修复|牙科工艺	蛀牙
19830919五行	手外科		肘内翻畸形
yuhao0125		正畸学	牙齿拥挤
六6	普通内科	创伤	骨折
医涯口腔		牙体牙髓|牙周|粘膜	
广东协大	其他	口腔基础	牙痛
芝士焗虾			肝硬化
风韵晚庭			深龋
归海依刀	骨科		
大院小孩	手外科		骨折
勃朗峰上的雪	骨科		盲
芝士焗虾			脓疱疮
duanchunbi	外科		水痘
范天松	血液检验		
小王王王王大夫	皮肤科		荨麻疹
丁香花ljl	放射科		软骨母细胞瘤
归海依刀	骨科		骨折
细胞微风	中医骨伤科		骨折
ccm666	内科		脓疱疮
cmuey1		病理阅片区	
medFish			
远征牙医			
dxy_nvrjb5lq		牙体牙髓|牙周|粘膜	牙周炎
dxy_junjun		其他	骨折
ccm666	内科		化脓
jiangwh2016			
Allll分子			
laogedou	放射科	神经	毛细血管瘤
zhaoli850311	麻醉科	面颈	黑素瘤
Harmony001			玫瑰糠疹
dxy_junjun		其他	牙龈退缩
LinkedCare	口腔科	牙体牙髓|牙周|粘膜	
xiongyi1833	影像科	腹盆	脂肪肝
vickey1995	未知	技术	
hongbo9999_2009	放射科	心胸	盲
陈财发	急诊科		骨折
自是白衣卿相	骨科		烧伤感染
junhao830	MRI室	神经	毛细血管瘤
梅子JM	妇产科		药疹
六6	普通内科	创伤	骨折
dxy_tlbnbl8r			
lihua891223	急诊科		
cmuey1		讲座	
奋斗衣僧	内科		
hongbo9999_2009	放射科	骨肌	骨折
xiongyi1833	影像科	面颈	多形性腺瘤
cherishsky00			
DoctorHevin2018	骨科		
ggpxz	放射科	骨肌	
wangyy1990		进展	抑郁症
wenqi_liang		骨肌	软骨黏液样纤维瘤
jiemoon	心血管内科	腹盆	肝脓肿
友睦	口腔科	口腔基础	牙齿矫正
xiongyi1833	影像科	面颈	
xiongyi1833	影像科	骨肌	鼻炎
dxy_ti0yktlq			
医涯口腔		口腔基础	
我13790419775		心胸	胸腺瘤
soguasogua		骨肌	骨折
马鹏飞8888	骨科		骨巨细胞瘤
马鹏飞8888	骨科		
dxlimh		牙体牙髓|牙周|粘膜	
橙子熊熊			痤疮
guoxin666	骨科	神经	小脑扁桃体下疝
拾年壹梦			
wangyy1990		其他	蛀牙
xzx8713850	创伤骨科	创伤	休克
七七暖暖W0LX			
zjxcd1	普通内科		
xiaoshi0716	放射科		隐性脊柱裂
天照607		核医	结石
llymmm	放射科	腹盆	肝囊肿
hexiaohong66		心胸	
20091201	骨科		髌骨骨折
远浔			
龙阿宝		心胸	
xinruionline		求助区	
hitmanreborn		腹盆	肿瘤
laogedou	放射科	腹盆	肝硬化
sxszwhz			
灰色面包屑			
9fire			
sxszwhz		创伤	先天性卵巢发育不全综合征
猪头来了			根尖周炎
nyl7678		求助区	
广东协大	其他	种植	根尖周炎
mayercoco	血液科	交流讨论区	肿瘤
xiaoyun840109	神经科		唇炎
diablozyz		皮肤病理	
csyxy9208			
huang_zhe_yuan	骨科	创伤	骨折
18875858985huhao			
说好了幸福			胸腺瘤
huang_zhe_yuan	骨科	脊柱	椎间盘突出症
说好了幸福			胸腺瘤
中西李勇	全科		
dxy_rakycrd			鱼鳞病
回春正骨堂			
六道之力			
柴克明ckm	心血管内科		
友睦	口腔科	口腔基础	帕金森病
fygfyg668	骨科		股骨颈骨折
马鹏飞8888	骨科		
哥萨克	检验科		
LLYou	骨科		骨折
皮肤小白	皮肤科		
云下的猫		皮肤疾病	窝状角质松解症
heyuanchun			肿瘤
诸葛-7			
ymxsyk	放射科	腹盆	便秘
dxy_1bo4zp10			
jitayishengyx			
lengyurong			
chenhualong	骨科		软骨瘤
ruidababy	影像科	心胸	食管癌
dxy_8e4zz1n4		交流	
xierunlin11	骨科		骨折
丞君			
xiamadidi	皮肤科		肿瘤
wdgam36978			
muyu999			含牙囊肿
大城小爱521	骨科		
dxy_26v09dp5			
dxy_9228w2r7			胆囊息肉
大城小爱521	骨科		
丰富多知	普外科		
dxy_riq9la84			甲状腺结节
未明xq			室间隔缺损
若兰幽香			
原味觉醒			肝内胆管结石
cmuey1		交流讨论区	
ning711711	骨科		肋骨骨折
ouyangmei881221	眼科		生殖道衣原体感染
zxx独一无二xxy	彩超科		
candyanlihua	超声科		
dxy_2fkscw14			
jl7670			
zxx独一无二xxy	彩超科		
爱吃爱玩大智慧			
上善若水AOE8			肿瘤
zdb120	彩超科		
六道之力			
rab	骨科	儿骨	
dxy_p4w7yp8e			痤疮
jwk顽石	超声科	腹部	肝脓肿
梁淑英		妇产	腹痛
jwk顽石	超声科	腹部	
45321222	麻醉科		
上善若水cwz			阑尾炎
Jekrysmile			血管瘤
mlsynpl	急诊科		
dxy_tw4svlg3		修复|牙科工艺	
caoxuezhong			脊髓性肌萎缩
大董不懂	影像科		精索扭转
dxy_xmadpcj			
ywdlym	普通内科	手足	骨折
古墓出品			牙痛
240756809	B超科		腹水
L桃子	彩超科		表皮样囊肿
随风飘碎			
李易桐6			
归海依刀	骨科		股骨干骨折
张临峰	超声科		脐尿管囊肿
caoxuezhong			脊髓性肌萎缩
dxy_vii5ncw2			
三好男人	超声科	腹部	肾细胞癌
救死扶伤12332		交流	
cs石头哥	内科		
归海依刀	骨科		骨折
365503994	感染科		
maimai-wendy	皮肤科		
psh217		政策法规	
fengdou	病理科		流产
地狱之火		手足	电击伤
cmuey1		病理阅片区	
twopig_sy	全科	政策法规	
ANRC-666		交流讨论区	高脂血症
dxy_j594qyw5			
dxy-neijing	内镜科		
roderick89	超声科	腹部	肠系膜上动脉压迫综合征
梁大妈			
平哥的可达鸭			
wslinlin26	妇科	求助区	
凌怡摩诘	超声科		脾破裂
缘来幸福	彩超科	腹部	
花月清风		浅表器官	
吕淑娇		皮肤疾病	神经性皮炎
HYouL			
太空堡垒2013	超声科		肾衰竭
零下七度17			
天蓬医生			高血压
棘突	脊柱外科	脊柱	
宝里宝气的	彩超科		
鲁迅的小师弟			结石
shengshipilao	普外科		
cmuey1		创伤	
鲁迅的小师弟			
范特西_	超声科	浅表器官	淋巴瘤
西贝一刀	骨科		骨折
xuech117			
囡囡19880216			腹水
dxy_bbuj56g8			
doctorliuzb	全科		
a96434008	脊柱外科		骨折
zs168	超声科	浅表器官	子宫内膜异位症
曹杨134679	心血管内科		输尿管结石
隐忍帅帅	普外科		血管脂瘤
水牛921			脱发
一身正气猴胖子			血管炎
wy18403550715			水肿
大uncle			
dxy_hdd982b8		科研教育	消化性溃疡
panxingkenihao	超声科		阴道流血
宫铭123	妇产科		
柒五叁	中医科		痔疮
duzeyu2004	烧伤科		腱鞘炎
qidai2018	超声科	腹部	结石
webcomer	心血管内科		
yuhuaymy	B超科		水肿
lixinghui001			骨折
河南国医研究院		中药天地	急性乳腺炎
太空堡垒2013	超声科		昏迷
zhangkick	手外科		神经鞘瘤
zhangkick	手外科		
开心五2零			
fangyuren			胫骨结节骨软骨病
hongbo9999_2009	放射科	骨肌	结核病
dxy_m22i403w			结核病
我见犹怜	全科		牙痛
放射小学生	CT室	心胸	肺炎
范特西_	超声科	浅表器官	
小医生-大虎	眼科		
古法艾灸		中医科普	
产科男医生1988	产科		脐带绕颈
YanirU			
ggpxz	放射科	腹盆	腺瘤
ggpxz	放射科	腹盆	神经节瘤
河南国医研究院		中药天地	咯血
扁凤工作室		中医人文	
ggpxz	放射科	腹盆	肾细胞癌
ggpxz	放射科	腹盆	脂肪瘤
凌微梦洁	B超科		结石
月与海e			
小七0110		中医临床	
f20317		经典研读	
柒五叁	中医科		
renyeziyan	超声科		
ying88315		肌骨	发育性髋关节脱位
先贤追随者		经典研读	伤寒
newsoul12	检验科	交流	乳腺癌
缘来幸福	彩超科	浅表器官	结节性甲状腺肿
月落無聲	放射科	心胸	结核病
月落無聲	放射科	神经	脑血管畸形
ningchen2000	超声科		结石
原味觉醒			十二指肠炎
dxy_ryx9pv94			
cmuey1		腹部	
潘安哥哥			精索静脉曲张
lexiaoai	骨科		
李红1116			
xiongyi1833	影像科	心胸	气胸
月落無聲	放射科	神经	早产儿
浩特0306		基础护理	休克
潇湘夜语		求助	
堂哥哥uu		妇产	葡萄胎
kangjiang008	超声科		绝经
xiongyi1833	影像科	腹盆	
海绵宝宝派大星7188	心血管内科	护士生活	
chenhuang1992			
双飝燕			
ency001	骨科		
liusonghui			
liusonghui			
hyq19860925	妇科		
jiangwenhui1234	骨科		
梧桐Lee			
曹儿	功能检查科		精索扭转
yifang1	放射科		
会飞的小乌龟			
芝亚			
深蓝9946			主动脉夹层
zhengzuofeng	影像科	心胸	过敏性肺炎
xihuansushi	超声科	翻译进展	
dxy_4su87mf2			
whzz8888	肿瘤综合科		
李璃			肿瘤
小新要求助	彩超科		
zhengzuofeng	影像科	心胸	
蓝胖子的小弟			纤维腺瘤
船头俏丽		妇产	尿道下裂
执着BJPX			附睾炎
月落無聲	放射科	神经	早产
zhengzuofeng	影像科	心胸	肺炎
zhengzuofeng	影像科	神经	足部皮肤角化过度
浩特0306		护士生活	
红樱桃9807		基础护理	
奎桔6八卦		基础护理	肿瘤
xu_yongqi	放射科	妇产	单心室
我要变强壮			
笑清风110	影像科		退行性骨关节病
X5555			
zs168	超声科	浅表器官	脂肪瘤
Ashang122			先天性卵巢发育不全综合征
ggpxz	放射科	腹盆	肾细胞癌
大邈哥			
芬芬ai猫咪		护士生活	
mm豆一罐子	内科护理	基础护理	
boldorg88			半月板损伤
执业医毕过			
过去的时光难忘怀	CT室	骨肌	癌症
芝士焗虾			癫痫
芝士焗虾			心律失常
mm豆一罐子	内科护理	基础护理	
我是牛年		神经	
宫铭123	妇产科		尿路感染
dxy_fyrh7ki0		丁香医法	
yjsang		从医者说	动脉瘤
幽若谷			
大胖墩牛牛			
yjsang		开卷有益	
蒲公英000	超声科		斜颈
大草源ABC	放射科		延髓麻痹
Hoewll-Jolly	超声科		腹痛
观心者			脂肪瘤
lengyufeiyan	妇产科		子宫肌瘤
sandyliu4ever		护理管理	
王岩岩岩岩喵喵喵			
xinshouqiuzhidao	彩超科		
征服者2008	CT室	骨肌	骨化性纤维瘤
虫虫啊mayday			
李璃			休克
海绵宝宝派大星7188	心血管内科	基础护理	
happy0720	神经科	病例讨论	头痛
FangQU		病例讨论	面神经麻痹
柳柳刀		学习交流	
柳柳刀		病例讨论	脑血管疾病
wbqq			颅骨骨折
下雨了xyl	内科	学习交流	无菌性脑膜炎
gjx527788			上睑下垂
YanirU			头痛
happy0720	神经科	学习交流	溃疡性结肠炎
dxy_ziobdwlr			
初级研究			
1006551570	神经科	病例讨论	神经胶质瘤
初级研究			
六道之力			
yjbjy22339		学习交流	脑出血
朴静IMVN			
Hjyhj350	神经科	学习交流	帕金森综合征
leegaga	内科	学习交流	脑出血
peterliu880	神经科	神经影像	脑出血
Wyjts880	神经科	学习交流	瘫痪
yaoyaohuxu	神经科	学习交流	
万田田			眩晕
人总是要努力的			精神分裂症
liugang_sz	麻醉科	学习交流	
qinyige	呼吸科		肺炎
夜聆			肺脓肿
天道酬勤lcm	麻醉科		
医者5407			
caojie898211	普通内科	呼吸治疗	乙型肝炎
sxw123456as	呼吸科		
月叔打怪兽		其它	尿路感染
黄焖鸡4530		其它	
外卖小哥Tom		呼吸治疗	丙型肝炎
漩涡一拳	呼吸科	呼吸治疗	支气管哮喘
liyoushan		普胸外科	气胸
零度空间zero	急诊科		肿瘤
十日日川			
zf401	呼吸科		
老牛niu1		其它	急性上呼吸道感染
外卖小哥Tom		进展|翻译|热点|科研	流行性感冒
wangyy1990		进展|翻译|热点|科研	支气管哮喘
kgyl	骨科	病例讨论	肺炎
黄焖鸡4530		其它	肺炎
sxw123456as	呼吸科		卡氏肺囊虫肺炎
紫絮冰鈊	内科		胸腔积液
漩涡一拳	呼吸科	进展|翻译|热点|科研	流行性感冒
hsf155753	呼吸科		
dxy_kdfqfqy6			
FDIAC			食管癌
许君玛		呼吸治疗	流行性感冒
龙一人士			
sdwhs2003	呼吸科	呼吸治疗	
建国你好	儿科	其它	流行性感冒
医刀之道	心胸外科	影像读片	肺栓塞
zalady	呼吸科	病例讨论	肺结核
dxy_s6vf91br			
dxy_lhww433			普通感冒
Panzehao	胸外科	呼吸治疗	
裴小胖213	急诊科	呼吸治疗	结核病
朱G04P			流行性感冒
dxy_9it4w2u7			慢性阻塞性肺疾病
哔咔哔咔1	功能检查科	病例讨论	胸腔积液
0魔法师0		普胸外科	
Flame弃			
外卖小哥Tom		进展|翻译|热点|科研	支气管哮喘
belb	呼吸科	病例讨论	白血病
一知不解		呼吸治疗	支气管哮喘
dxy_iij0r0r4			
leiwenguozm	急诊科	影像读片	
东点一坨子	呼吸科	呼吸治疗	尿路感染
belb	呼吸科	进展|翻译|热点|科研	肺炎
liuxuepp0319	肾脏内科	其它	尿毒症
dxy_jktqmlu6			肺源性心脏病
lansingg	呼吸科	影像读片	肺癌
a05391125702	放疗科	影像读片	咯血
cmuey1		精神病理学	
黄焖鸡4530		呼吸治疗	百日咳
f20317		精神病理学	
fjsf1	心胸外科	肺癌	肿瘤
cbxingyuan	内科	病例讨论	流行性感冒
cbxingyuan	内科	病例讨论	病毒性肺炎
外卖小哥Tom			严重急性呼吸综合征
dxy_8iepdm94		影像读片	结核病
caodingxiangyuan	内科	心电	冠心病
嘟嘟皮卡丘			室性期前收缩
柳叶刀19801010	内科	影像读片	结核病
lansingg	呼吸科	其它	
dazerabbit			窦房传导阻滞
ANRC-666		普胸外科	肺纤维化
驼驼汐			
lansingg	呼吸科	进展|翻译|热点|科研	
摸头人			
摸头人			
dxy_1l4p3bjr			不稳定型心绞痛
lansingg	呼吸科	其它	
德利医生		影像读片	
东点一坨子	呼吸科	其它	肺炎
dxy_1l4p3bjr			冠心病
Since二十一			心力衰竭
ANRC-666		进展|翻译|热点|科研	慢性阻塞性肺疾病
neiwei	心血管内科		急性心肌梗死
麦芒840120	内科		心脏病
lytdp	心血管内科		窦性心律失常
beanhk	其他-综合部	心外	
精卫填海小馒头		肺癌	肺癌
zdj123456	全科		高血压
医者仁心lwb	内科		
丁香园呼吸频道		其它	
糖果屋爱苹果		其它	
miss0000	内科	专题讨论	急性心肌梗死
dxy_t1vauicr			肺动脉高压
漩涡一拳	呼吸科	其它	流行性感冒
吹风机123	心血管内科	介入	
温小源	心血管内科		心房颤动
又学习了	心血管内科		高血压
缪树回春			窦性心动过速
renyeziyan	超声科		
belb	呼吸科	专题讨论	心功能不全
xuchengfei12			
乡镇卫生院住院医	内科		
du07160178	内分泌科		
liugang_sz	麻醉科	译林	
梦动心静			心绞痛
甜不辣呀嘿			
lms3017	心血管内科		
黑了个黑_	心血管内科		室性心动过速
wsliuyanqin	内科		阵发性室上性心动过速
陈信宏宏宏			耳鸣
cmuey1		专题讨论	
qinlimin1988	心血管内科		心房颤动
taiji206	普通内科	临床互助	急性冠脉综合征
枫叶逆旅			心律失常
bananahaha			
黑色t恤	心血管内科		窦性心动过缓
吴小汪			病毒性心肌炎
weijunbao1		专题讨论	再生障碍性贫血
龙阿宝			窦性心动过速
竹枝9423	心血管内科	热点	高血压
丁香学堂	心血管内科	专题讨论	心房颤动
吹风机123	心血管内科	介入	头痛
待柳暗花明			
期待我的123			冠心病
wbb1209			偏头痛
hy3250771		求助	肺栓塞
梦箫予菲雪	小儿内科		
樊小珍KJEH		临床麻醉	
井蓳			
香辣辣777			
入狱小农			尿潴留
芷若秋涵		临床互助	
liu970910365			第三度房室传导阻滞
沙的流淌			
xjylwsy		求助	
Zoehuhuhu			原发性高血压
switerlland		危重症专栏	应激性溃疡
原慌	ICU护理	危重症专栏	昏迷
qiqiqo2000	急诊科	急救专栏	
夜小华		急救专栏	
昵称说不出的帅	急诊科	心血管急危症	心室肌致密化不全
昵称说不出的帅	急诊科	急救专栏	
switerlland		急救专栏	低钙血症
tianoo3000		求助/交流	
switerlland		危重症专栏	癌性疼痛
丁香园重症频道		急救专栏	腹胀
okherox	急诊科		昏迷
2孤烟南飞2	小儿内科		
任我飞渡		危重症专栏	多发性骨髓瘤
城市小草		血管外科	
齐达内2		急诊故事	盲
escapist		危重症专栏	
switerlland		危重症专栏	心力衰竭
六道之力			瘫痪
hlht	普外科		
LIHANLOVE	骨科		上颌骨骨折
子之将军岭	普外科		腹股沟疝
nowisall	小儿内科	急救专栏	
医阳指			
丁香园重症频道		危重症专栏	肝硬化
sinocyte			
竞静	普外科	胃肠/肠内外营养	直肠癌
每周医槽			
dxy_2sr5ldi8			宫外孕
急诊狼人			头痛
kingokingo			白线疝
yidaoxiaobai	微创外科		坏死性筋膜炎
switerlland		急救专栏	低钠血症
青春你埋藏了幸福	外科		胰腺炎
kurza	急诊科		水肿
大师兄的师弟			脊髓性肌萎缩
cttinganzhou	消化内科		
njdoctorswj	肛肠外科	肛肠	直肠肛管周围脓肿
focus2009		病例讨论	便秘
lq66240		临床经验	低血糖症
ghhfghhh	肾脏内科		
水连天地	泌尿外科		水肿
LINN悭和			
你猜我是谁是我	普外科		继发性甲状旁腺功能亢进症
z469745336	神经外科	泌尿外科	鞘膜积液
no开心0616			
coco168	B超科		
冥海有鱼		泌尿外科	尿潴留
俞雨生教授		肾脏内科	慢性肾衰竭
scdk			高血压肾病
cmuey1		糖脂代谢	
wunanr	外科护理		肠梗阻
phoenixxubin	未知		
气质			单侧肾缺如
要紧黄		糖脂代谢	糖尿病
郭狗蛋儿			肥胖症
芝士焗虾			动静脉瘘
warking	泌尿外科	泌尿外科	
wcr741029	内科	垂体肾上腺性腺	2型糖尿病
玥有悲欢离合	内分泌科	糖脂代谢	多囊卵巢综合征
saida		其它	糖尿病
Daniel_onwb			尿路感染
要妳幸福	肿瘤内科	糖脂代谢	糖尿病
dxy_bk43zu8r		甲状腺	甲亢
动辄参与商		垂体肾上腺性腺	骨质疏松症
耐药埃希菌			
zhoujinwen1989			
wangyy1990		前沿|进展	肝癌
芝士焗虾			肾病综合征
saintsatan	胃肠外科	前沿|进展	胃癌
夜班医师			腹痛
8728288			非小细胞肺癌
wozaiyida	肿瘤科	肿瘤基础	骨肉瘤
圣手阿良		循证|规范	肺癌
带头大哥888	消化内科		肝硬化
wozaiyida	肿瘤科	肿瘤基础	乳腺癌
wozaiyida	肿瘤科	肿瘤基础	胰头癌
光明的牛			
懒癌末期喵达人	血液科		血液病
dxy_pgg0jr94			高脂血症
靠谱的小明			蚕豆病
2孤烟南飞2	小儿内科		癌症
咸小鱼			
玥有悲欢离合	内分泌科	甲状腺	心力衰竭
ANRC-666		文献与讲座	抗利尿激素分泌失调综合征
june91		甲状腺	亚急性甲状腺炎
dxy_v4ehw0f6		病例讨论	肺栓塞
白二浅	内分泌科	甲状腺	意识障碍
duanbao12345		糖脂代谢	低血糖症
木棉飘絮		其它	炭疽
dxy_wvyl4h1q			乳腺癌
陈医生哈			肿瘤
肿瘤小医生zy	肿瘤科	化疗	肿瘤
